,Mean Rewards,Standard error
0,3.475675344467163,[0.56155765]
1,4.237837791442871,[0.47031945]
2,4.005404949188232,[0.49804097]
3,3.756756544113159,[0.5468105]
4,3.7081079483032227,[0.49498826]
5,4.113513469696045,[0.50364393]
6,3.621621608734131,[0.5035786]
7,2.691891670227051,[0.5248233]
8,4.0756754875183105,[0.5614037]
9,4.61081075668335,[0.5024483]
10,3.605405569076538,[0.5727838]
11,3.1783783435821533,[0.52192724]
12,4.059459686279297,[0.47850567]
13,4.178378582000732,[0.49675846]
14,3.8378374576568604,[0.48636135]
15,2.6540541648864746,[0.51675594]
16,3.7351348400115967,[0.50477874]
17,4.113513469696045,[0.49682945]
18,4.070270538330078,[0.6241293]
19,3.437838077545166,[0.53111607]
20,3.6540539264678955,[0.49452075]
