,Mean Rewards,Standard error
0,4.120967864990234,[0.17003182]
1,3.725806474685669,[0.23973712]
2,3.7492988109588623,[0.14652678]
3,3.8962130546569824,[0.21521938]
4,4.088008403778076,[0.10787497]
5,3.8411643505096436,[0.2136161]
6,3.7352733612060547,[0.13132843]
7,3.839761257171631,[0.23155846]
8,3.787868022918701,[0.19210052]
9,4.2089762687683105,[0.43740323]
10,3.800139904022217,[0.29552647]
11,3.8622021675109863,[0.21159022]
12,4.459677219390869,[0.28836456]
