,Mean Rewards,Standard error
0,3.92972993850708,[0.5440158]
1,3.5567564964294434,[0.47314796]
2,4.259459495544434,[0.5142313]
3,3.762162208557129,[0.45764613]
4,4.31351375579834,[0.47174358]
5,3.718919038772583,[0.5724862]
6,3.7675676345825195,[0.38375524]
7,4.010810852050781,[0.5219623]
8,4.005405426025391,[0.47495595]
9,4.475675582885742,[0.49678293]
10,3.9621622562408447,[0.5292009]
11,3.437838077545166,[0.39637694]
12,3.729729652404785,[0.4713615]
13,4.31351375579834,[0.49540868]
14,4.6702704429626465,[0.4618433]
15,4.237837791442871,[0.5007834]
16,3.9351351261138916,[0.5012354]
17,4.2756757736206055,[0.5045978]
18,4.0,[0.533741]
19,4.1459455490112305,[0.45551568]
20,4.1027021408081055,[0.5315056]
21,4.243243217468262,[0.4578669]
22,4.335134983062744,[0.42796963]
23,4.178378105163574,[0.5182287]
24,3.956756591796875,[0.44992223]
